Time,Data
2024-04-20 17:02:10,license Plate is detected. tracker_id: 1
2024-04-20 17:02:10,"license Code has been read: 
1 : sel "
2024-04-20 17:02:10,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:11,license Plate is detected. tracker_id: 1
2024-04-20 17:02:11,"license Code has been read: 
1 : sel "
2024-04-20 17:02:11,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:11,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:12,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:12,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:13,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:13,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:14,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:14,license Plate is detected. tracker_id: 1
2024-04-20 17:02:14,"license Code has been read: 
1 : sel "
2024-04-20 17:02:14,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:15,license Plate is detected. tracker_id: 1
2024-04-20 17:02:15,"license Code has been read: 
1 : sel "
2024-04-20 17:02:15,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:16,license Plate is detected. tracker_id: 1
2024-04-20 17:02:16,"license Code has been read: 
1 : sel "
2024-04-20 17:02:16,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:16,license Plate is detected. tracker_id: 1
2024-04-20 17:02:16,"license Code has been read: 
1 : sel "
2024-04-20 17:02:16,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:17,license Plate is detected. tracker_id: 1
2024-04-20 17:02:17,"license Code has been read: 
1 : sel "
2024-04-20 17:02:17,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:18,license Plate is detected. tracker_id: 1
2024-04-20 17:02:18,"license Code has been read: 
1 : sel "
2024-04-20 17:02:18,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:18,license Plate is detected. tracker_id: 6
2024-04-20 17:02:18,"license Code has been read: 
6 : sel "
2024-04-20 17:02:18,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:18,license Plate is detected. tracker_id: 1
2024-04-20 17:02:18,"license Code has been read: 
1 : sel "
2024-04-20 17:02:18,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:19,license Plate is detected. tracker_id: 6
2024-04-20 17:02:19,"license Code has been read: 
6 : sel "
2024-04-20 17:02:19,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:19,license Plate is detected. tracker_id: 1
2024-04-20 17:02:19,"license Code has been read: 
1 : sel "
2024-04-20 17:02:19,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:20,license Plate is detected. tracker_id: 6
2024-04-20 17:02:20,"license Code has been read: 
6 : sel "
2024-04-20 17:02:20,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:20,license Plate is detected. tracker_id: 6
2024-04-20 17:02:20,license Plate is detected. tracker_id: 6
2024-04-20 17:02:20,"license Code has been read: 
6 : sel "
2024-04-20 17:02:20,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:21,license Plate is detected. tracker_id: 6
2024-04-20 17:02:21,"license Code has been read: 
6 : sel "
2024-04-20 17:02:21,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:21,license Plate is detected. tracker_id: 1
2024-04-20 17:02:21,license Plate is detected. tracker_id: 1
2024-04-20 17:02:21,"license Code has been read: 
1 : sel "
2024-04-20 17:02:21,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:22,license Plate is detected. tracker_id: 6
2024-04-20 17:02:22,"license Code has been read: 
6 : sel "
2024-04-20 17:02:22,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:22,license Plate is detected. tracker_id: 6
2024-04-20 17:02:22,"license Code has been read: 
6 : sel "
